Date,Audiences,MovieID
20111021,395,20110279
20111022,672,20110279
20111023,450,20110279
20111024,1,20110279
20111025,152,20110279
20111026,174,20110279
20111027,228,20110279
20111028,113,20110279
20111029,198,20110279
20111030,244,20110279
20111031,4,20110279
20111101,158,20110279
20111102,40,20110279
20111103,24,20110279
20111104,7,20110279
20090528,222638,20090248
20090529,222052,20090248
20090530,403042,20090248
20090531,347240,20090248
20090601,125626,20090248
20090602,113932,20090248
20090603,107716,20090248
20090604,93947,20090248
20090605,117557,20090248
20090606,240440,20090248
20090607,172741,20090248
20090608,62393,20090248
20090609,61920,20090248
20090610,56841,20090248
20090611,43136,20090248
20090612,48769,20090248
20090613,85068,20090248
20090614,65978,20090248
20090615,27884,20090248
20090616,26659,20090248
20090617,25612,20090248
20090618,22652,20090248
20090619,26024,20090248
20090620,49636,20090248
20090621,40714,20090248
20090622,18713,20090248
20090623,18160,20090248
20090624,9109,20090248
20090625,9078,20090248
20090626,8839,20090248
20090627,12170,20090248
20090628,11072,20090248
20090629,10095,20090248
20090630,10947,20090248
20090701,5583,20090248
20090702,5200,20090248
20090703,5135,20090248
20090704,6603,20090248
20090705,5518,20090248
20090706,4553,20090248
20090707,4759,20090248
20090708,4065,20090248
20090709,1355,20090248
20090710,1513,20090248
20090711,2027,20090248
20090712,1949,20090248
20090713,2233,20090248
20090714,1907,20090248
20090715,164,20090248
20090716,29,20090248
20090717,39,20090248
20090718,75,20090248
20090719,62,20090248
20090720,47,20090248
20090721,35,20090248
20090722,13,20090248
20090723,26,20090248
20090724,30,20090248
20090725,13,20090248
20090726,30,20090248
20090727,10,20090248
20090728,20,20090248
20090729,23,20090248
20100909,42664,20100810
20100910,49905,20100810
20100911,186670,20100810
20100912,163614,20100810
20100913,23952,20100810
20100914,21885,20100810
20100915,20721,20100810
20100916,12735,20100810
20100917,16879,20100810
20100918,56586,20100810
20100919,58835,20100810
20100920,33540,20100810
20100921,41858,20100810
20100922,54436,20100810
20100923,69890,20100810
20100924,49772,20100810
20100925,50466,20100810
20100926,34832,20100810
20100927,5158,20100810
20100928,5468,20100810
20100929,6043,20100810
20100930,3526,20100810
20101001,3275,20100810
20101002,12439,20100810
20101003,15911,20100810
20101004,2578,20100810
20101005,2381,20100810
20101006,2352,20100810
20101007,1183,20100810
20101008,1644,20100810
20101009,6020,20100810
20101010,5462,20100810
20101011,647,20100810
20101012,670,20100810
20101013,535,20100810
20101014,5,20100810
20101015,97,20100810
20101016,209,20100810
20101017,299,20100810
20090205,69766,20080870
20090206,75946,20080870
20090207,150073,20080870
20090208,131191,20080870
20090209,45600,20080870
20090210,43965,20080870
20090211,40787,20080870
20090212,26554,20080870
20090213,27812,20080870
20090214,72485,20080870
20090215,52839,20080870
20090216,16578,20080870
20090217,16275,20080870
20090218,15318,20080870
20090219,4066,20080870
20090220,4530,20080870
20090221,9125,20080870
20090222,8196,20080870
20090223,3454,20080870
20090224,3138,20080870
20090225,3083,20080870
20090226,291,20080870
20090227,370,20080870
20090228,623,20080870
20090301,561,20080870
20090302,174,20080870
20090303,164,20080870
20090304,346,20080870
20090305,13,20080870
20090306,12,20080870
20090307,24,20080870
20090308,27,20080870
20090309,9,20080870
20090310,6,20080870
20090311,10,20080870
20090312,2,20080870
20090313,2,20080870
20090314,7,20080870
20090315,8,20080870
20090316,1,20080870
20090317,2,20080870
20090318,2,20080870
20090319,3,20080870
20090320,4,20080870
20090321,4,20080870
20090322,8,20080870
20151008,271226,20151383
20151009,540636,20151383
20151010,539713,20151383
20151011,453339,20151383
20151012,126916,20151383
20151013,114034,20151383
20151014,128490,20151383
20151015,107160,20151383
20151016,172134,20151383
20151017,347849,20151383
20151018,299494,20151383
20151019,80035,20151383
20151020,76319,20151383
20151021,80818,20151383
20151022,65375,20151383
20151023,107917,20151383
20151024,226411,20151383
20151025,200525,20151383
20151026,50430,20151383
20151027,52085,20151383
20151028,64351,20151383
20151029,39990,20151383
20151030,62307,20151383
20151031,144529,20151383
20151101,123239,20151383
20151102,29534,20151383
20151103,26823,20151383
20151104,26225,20151383
20151105,16637,20151383
20151106,24696,20151383
20151107,70194,20151383
20151108,62660,20151383
20151109,12490,20151383
20151110,11578,20151383
20151111,8272,20151383
20151112,10143,20151383
20151113,11436,20151383
20151114,24477,20151383
20151115,21188,20151383
20151116,6370,20151383
20151117,6700,20151383
20151118,5610,20151383
20151119,2039,20151383
20151120,2306,20151383
20151121,3996,20151383
20151122,4073,20151383
20151123,1559,20151383
20151124,1591,20151383
20151125,532,20151383
20151126,365,20151383
20151127,612,20151383
20151128,271,20151383
20151129,508,20151383
20151130,234,20151383
20151201,176,20151383
20151202,229,20151383
20151203,135,20151383
20151204,271,20151383
20151205,134,20151383
20151206,107,20151383
20151207,32,20151383
20151208,393,20151383
20151209,216,20151383
20151210,25,20151383
20151211,220,20151383
20151212,75,20151383
20151213,112,20151383
20151214,88,20151383
20151215,42,20151383
20151216,25,20151383
20161221,392856,20161725
20161222,347324,20161725
20161223,417071,20161725
20161224,918759,20161725
20161225,902734,20161725
20161226,273151,20161725
20161227,250253,20161725
20161228,310391,20161725
20161229,233247,20161725
20161230,328306,20161725
20161231,537784,20161725
20170101,505602,20161725
20170102,182940,20161725
20170103,135700,20161725
20170104,102215,20161725
20170105,92153,20161725
20170106,105141,20161725
20170107,236202,20161725
20170108,220805,20161725
20170109,65276,20161725
20170110,62575,20161725
20170111,54588,20161725
20170112,46126,20161725
20170113,52717,20161725
20170114,120452,20161725
20170115,110882,20161725
20170116,36976,20161725
20170117,35948,20161725
20170118,5932,20161725
20170119,4788,20161725
20170120,4769,20161725
20170121,7847,20161725
20170122,5988,20161725
20170123,2560,20161725
20170124,2819,20161725
20170125,436,20161725
20170126,689,20161725
20170127,1386,20161725
20170128,1430,20161725
20170129,1375,20161725
20170130,1102,20161725
20170131,369,20161725
20170201,185,20161725
20170202,1463,20161725
20170203,209,20161725
20170204,269,20161725
20170205,281,20161725
20170206,172,20161725
20170207,184,20161725
20170208,139,20161725
20170209,124,20161725
20170210,128,20161725
20170211,145,20161725
20170212,140,20161725
20170213,129,20161725
20170214,123,20161725
20170215,124,20161725
20170216,135,20161725
20170217,138,20161725
20170218,131,20161725
20170219,153,20161725
20170220,137,20161725
20170221,132,20161725
20061026,34662,20060279
20061027,33027,20060279
20061028,109983,20060279
20061029,94333,20060279
20061030,20686,20060279
20061031,21887,20060279
20061101,25865,20060279
20061102,14270,20060279
20061103,17546,20060279
20061104,67932,20060279
20061105,79069,20060279
20061106,11520,20060279
20061107,12031,20060279
20061108,12839,20060279
20061109,6844,20060279
20061110,11379,20060279
20061111,64208,20060279
20061112,48762,20060279
20061113,5960,20060279
20061114,5578,20060279
20061115,9047,20060279
20061116,5001,20060279
20061117,3553,20060279
20061118,25022,20060279
20061119,27861,20060279
20061120,2213,20060279
20061121,2640,20060279
20061122,3306,20060279
20061123,872,20060279
20061124,933,20060279
20061125,8080,20060279
20061126,6498,20060279
20061127,532,20060279
20061128,556,20060279
20061129,679,20060279
20061130,123,20060279
20061201,334,20060279
20061202,900,20060279
20061203,1290,20060279
20061204,138,20060279
20061205,116,20060279
20061206,205,20060279
20061207,26,20060279
20061208,73,20060279
20061209,410,20060279
20061210,415,20060279
20061211,21,20060279
20061212,110,20060279
20061213,113,20060279
20111221,110253,20110295
20111222,117862,20110295
20111223,141654,20110295
20111224,330106,20110295
20111225,315546,20110295
20111226,80247,20110295
20111227,74520,20110295
20111228,71209,20110295
20111229,73177,20110295
20111230,93928,20110295
20111231,169966,20110295
20120101,153501,20110295
20120102,58357,20110295
20120103,41908,20110295
20120104,33030,20110295
20120105,23986,20110295
20120106,25856,20110295
20120107,54246,20110295
20120108,49867,20110295
20120109,15680,20110295
20120110,15622,20110295
20120111,11222,20110295
20120112,9034,20110295
20120113,8699,20110295
20120114,19450,20110295
20120115,17133,20110295
20120116,5186,20110295
20120117,5448,20110295
20120118,1301,20110295
20120119,497,20110295
20120120,625,20110295
20120121,1080,20110295
20120122,996,20110295
20120123,1271,20110295
20120124,1418,20110295
20120125,512,20110295
20120126,108,20110295
20120127,113,20110295
20120128,155,20110295
20120129,85,20110295
20120130,89,20110295
20120131,56,20110295
20120201,49,20110295
20070906,43507,20070381
20070907,55065,20070381
20070908,129630,20070381
20070909,111929,20070381
20070910,35862,20070381
20070911,35450,20070381
20070912,22537,20070381
20070913,20525,20070381
20070914,24485,20070381
20070915,72983,20070381
20070916,53807,20070381
20070917,15684,20070381
20070918,15311,20070381
20070919,7445,20070381
20070920,7556,20070381
20070921,9955,20070381
20070922,21802,20070381
20070923,20989,20070381
20070924,20626,20070381
20070925,28569,20070381
20070926,28847,20070381
20070927,8215,20070381
20070928,7172,20070381
20070929,14219,20070381
20070930,12129,20070381
20071001,3746,20070381
20071002,2663,20070381
20071003,2287,20070381
20071004,538,20070381
20071005,969,20070381
20071006,2103,20070381
20071007,2204,20070381
20071008,1474,20070381
20071009,1404,20070381
20071010,1558,20070381
20071011,178,20070381
20071012,118,20070381
20071013,541,20070381
20071014,364,20070381
