ActorID,BirthDate,Name,TotalAudiences
10038010,19711020,스눕 독,1924414
20115442,19811109,스카티 톰슨,860340
10038163,19841122,스칼렛 요한슨,39147200
10038180,19910905,스캔더 킨즈,2687115
10038306,19651126,스콧 애짓,2801949
10038303,19760617,스콧 앳킨스,5446239
20170601,19860321,스콧 이스트우드,5323034
10038246,19771111,스쿳 맥네이리,2084482
10038506,19601111,스탠리 투치,10415688
10038522,20040506,스털링 제린스,1928605
10038855,19510613,스텔란 스카스가드,4734451
10038945,19721215,스튜어트 타운젠드,1694562
10039091,19571213,스티브 부세미,962770
10039193,19620816,스티브 카렐,1027050
10039210,19651014,스티브 쿠건,2520670
10039309,19561130,스티븐 딜레인,807850
10039447,19860323,스티븐 스트레이트,1134364
10039749,19491008,시고니 위버,15821561
20112238,19930510,시다 미라이,1065967
20233046,19881206,시마자키 노부나가,3651886
10040074,19810805,시바사키 코우,773025
10040142,19530209,시아란 힌즈,763078
10040152,19750316,시에나 길로리,915232
10040153,19811228,시에나 밀러,2665874
20211306,19900326,시우민,2051277
20111719,19831230,신경선,3330324
20133932,19850107,신다은,1208306
10040291,19771129,신동미,5503740
20111177,19710217,신동엽,837588
10040351,19950520,신명철,898000
10040372,19840405,신민아,5495342
20128312,19860525,신민철,1346754
10040416,19821123,신성록,11543669
10040423,19370508,신성일,3035086
10040425,19900000,신세경,6208979
20111744,19870805,신소율,11494412
10040452,19660409,신시아 닉슨,1067550
10040551,19781106,신이,8961993
10040580,19660926,신정근,41079096
10040599,19770000,신종훈,3451025
20210527,19940228,신지수,1202384
20166969,19770901,신치영,2135509
10040665,19740530,신하균,20302541
20110901,19860410,신현빈,972431
10040685,19620000,신현종,4565441
10040687,19681028,신현준,13131350
10040691,19800321,신현탁,7958586
10040860,19701123,심영,8035181
10040864,19751219,심온,1191683
10040874,19940531,심은경,28340029
10040901,19810000,심지호,3296474
10040912,19580103,심형래,1998059
20153620,19860000,심희섭,24080559
10041170,19470730,아놀드 슈왈제네거,3240370
10058992,19831106,아담 드바인,3610564
10041325,19660909,아담 샌들러,962770
10041654,19680312,아론 에크하트,5368363
10041669,19790827,아론 폴,1511195
10041846,19670808,아마미 유키,1117846
10041879,19851203,아만다 사이프리드,10472995
10041905,19720111,아만다 피트,5390201
10041935,19840418,아메리카 페레라,3000056
10042011,19421011,아미타브 바흐찬,861570
10042104,19970401,아사 버터필드,2718158
10042320,19690628,아예렛 주러,1400301
10066745,19840612,아용주,2682371
20121464,19930516,아이유,1457380
10042525,19760203,아일라 피셔,3774477
10042830,19660824,안길강,12090902
10042949,19881216,안나 팝플웰,1140201
10042972,19640724,안내상,20766480
20137818,20040112,안서현,5834408
10043361,19591101,안석환,3537375
20111228,19790224,안선영,2249597
10043371,19520101,안성기,33237877
20231467,19860129,안세하,1124815
10043430,19790923,안소니 마키,8677249
10043531,19371231,안소니 홉킨스,10836680
10043550,19920627,안소희,11565479
10043631,19860331,안재홍,1715370
10043663,19251016,안젤라 랜스베리,980387
